"title","seasons","episodes","rating","year","genres","description","link","image"
"Assault Lily BOUQUET","2","24","84","2020","Action | Fantasy | Magic","On Earth in the near future, humanity faced imminent destruction from mysterious giant creatures known as ""Huge.""","https://www.wakanim.tv/sc/v2/catalogue/show/1102/-assault-lily-bouquet","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372454521280928Assault-Lily-Bouquet_Small.jpg"
"18if","2","26","100","2017","Drama | Horror | Supernatural","Haruto wakes up to find himself trapped in dream world. But while he searches for an exit, he'll have to face powerful witches!","https://www.wakanim.tv/sc/v2/catalogue/show/826/18if","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_63720665667252805818-If_Small.jpg"
"2.43: Seiin High School Boys Volleyball Team","2","24","92","2021","Drama | Slice of Life | Sport","After everything that’s happened, can the ace pair be reunited? Genius setter Kimichika Haijima and team ace Yuni Kuroba were a duo on and off the volleyball court.","https://www.wakanim.tv/sc/v2/catalogue/show/1215/243-seiin-high-school-boys-volleyball-team","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637452789867324573243_Small.jpg"
"22/7","1","13","74","2020","Music | Slice of Life","One day, Miu Takigawa suddenly receives a letter notifying her that she has been chosen as a member of a brand-new project.","https://www.wakanim.tv/sc/v2/catalogue/show/650/227","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/91_637141819584997499227_Small.png"
"A Good Librarian Like a Good Shepherd","1","12","72","2014","Magic | Romance","Kyotaro is better with books than girls, but a text message from the mysterious “Shepherd” hints that his fate will soon be changing.","https://www.wakanim.tv/sc/v2/catalogue/show/718/a-good-librarian-like-a-good-shepherd","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206658658242835Librarian-Shepherd_Small.jpg"
"A Sister's All You Need","2","24","96","2017","Comedy | Ecchi | Romance | Slice of Life","The only source of stability in novelist Itsuki Hashima’s life is his younger stepbrother, Chihiro. But even he has a secret of his own.","https://www.wakanim.tv/sc/v2/catalogue/show/827/a-sisters-all-you-need","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181375173264097Sisters-all-you-need_Small.jpg"
"A3!","4","48","96","2020","Comedy | Music | Slice of Life","In a city called Veludo in the suburbs of Tokyo, there is a street called ""Veludo way"". Many theatre troupes are based there, making it a mecca for comedians.","https://www.wakanim.tv/sc/v2/catalogue/show/627/a3","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262738920680652A3_Small.jpg"
"Absolute Duo","2","24","60","2015","Action | Adventure | Ecchi | Fantasy | Magic | Romance | Supernatural","After a traumatic accident takes his loved one, Tor enrolls at Koryo Academy, a school where every student's soul manifests as a weapon.","https://www.wakanim.tv/sc/v2/catalogue/show/726/absolute-duo","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/123_637196333172824279Absolute-Duo_Small.jpg"
"Adachi and Shimamura","2","24","78","2020","Romance | Slice of Life","Known for skipping class on the regular, two girls’ lives become intertwined when they find each other on the second floor of the school gym.","https://www.wakanim.tv/sc/v2/catalogue/show/1069/adachi-and-shimamura","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372525155789011Adachi-Shimamura_Small.jpg"
"AFTERLOST","2","24","66","2019","Adventure | Drama | Sci-Fi | Supernatural","One day, a city suddenly disappears. Takuya, a courier and lone wolf, meets Yuki, the only survivor from the catastrophe. When they receive a message from Yuki’s father, whom she lost contact with, they decide to head towards the disappeared city.","https://www.wakanim.tv/sc/v2/catalogue/show/494/afterlost","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967461958706283After-Lost_Small.png"
"Akashic Records of Bastard Magic Instructor","2","24","80","2017","Action | Comedy | Ecchi | Magic","The new teacher at a magical academy doesn’t seem to care about anything until a threat to the school shows a whole new side of him.","https://www.wakanim.tv/sc/v2/catalogue/show/833/akashic-records-of-bastard-magic-instructor","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181484361956011Akashic_Small.jpg"
"Akebi's Sailor Uniform","2","24","76","2022","Slice of Life","Akebi Komichi has been admitted to a prestigious all-girls college. She has two wishes for the school year: to wear the school's sailor uniform and make friends with her new classmates!","https://www.wakanim.tv/sc/v2/catalogue/show/1661/akebis-sailor-uniform","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/3112_637765609050689523ASU_Small.jpg"
"Akiba's Trip: The Animation","2","26","100","2017","Action | Adventure | Comedy | Ecchi | Supernatural","After being attacked by a vampire, Tamotsu Denkigai is stuck in Akihabara fighting to keep the streets safe.","https://www.wakanim.tv/sc/v2/catalogue/show/834/akibas-trip-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/242_637181514367732663Akiba-Strip_Small.jpg"
"Akudama Drive","2","24","92","2020","Action | Sci-Fi","A long time ago, the Kanto and Kansai groups faced off in Japan, dividing the country in two.","https://www.wakanim.tv/sc/v2/catalogue/show/1062/akudama-drive","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372256448376532Akudama_Drive_Small.jpg"
"All Out!!","4","50","0","2016","Comedy | Seinen | Sport","Kenji Gion and Sumiaki Iwashimizu take to the field with the rugby club, ready to prove they have what it takes and go all out!","https://www.wakanim.tv/sc/v2/catalogue/show/837/all-out","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/252_637182227251384289All-Out_Small.jpg"
"AMAIM Warrior at the Borderline","3","38","58","2021","Action | Mecha","2061. The world is now divided into 4 economic blocks that are constantly confronting each other.","https://www.wakanim.tv/sc/v2/catalogue/show/1573/amaim-warrior-at-the-borderline","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/309_637686132035725482AMAIMW_Small.jpg"
"Ancient Girl's Frame","1","12","6","2021","Drama | Mecha | Sci-Fi","To save the Earth from an alien invasion, Li Xinglan climbs aboard her giant mecha and goes to fight the aliens on the front line!","https://www.wakanim.tv/sc/v2/catalogue/show/1452/ancient-girls-frame","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/1210_637696499475972615AGF_Small.jpg"
"And you thought there is never a girl online?","2","24","74","2016","Comedy | Romance | Slice of Life","Hideki can’t trust online girls, but when Ako confesses to him, he might reconsider. First, he has to fix her serious lack of social skills!","https://www.wakanim.tv/sc/v2/catalogue/show/775/and-you-thought-there-is-never-a-girl-online","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206404786451067Girl-Online_Small.jpg"
"Angels of Death","4","32","88","2018","Adventure | Horror | Supernatural | Thriller","When Rachel wakes up with no memories in the basement of an unfamiliar building, she runs into Zack, a scythe-carrying serial killer.","https://www.wakanim.tv/sc/v2/catalogue/show/874/angels-of-death","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/23_637187473111651798Angels-of-Death_Small.jpg"
"Anime-Gataris","2","24","72","2017","Comedy | Original | Slice of Life","Nothing stops Minoa Asagaya from indulging in rapid-fire banter about the latest anime, not even student council or the end of the world!","https://www.wakanim.tv/sc/v2/catalogue/show/875/anime-gataris","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/23_637187606283434643Anime-Gataris_Small.jpg"
"APPARE-RANMAN!","2","26","88","2020","Action | Adventure | Comedy | Historical","The end of the 19th century sets the beginning of a new era about to unveil itself...","https://www.wakanim.tv/sc/v2/catalogue/show/831/appare-ranman","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637214146633040741A-R-2_Small.jpg"
"Aquarion Logos","4","52","96","2015","Action | Alternate history | Comedy | Drama | Fantasy | Mecha | Original | Romance | Sci-Fi","Members of the Verbalism Club unite to take a M.J.B.K. head-on! Afterwards, Akira encounters Sougon face-to-face!","https://www.wakanim.tv/sc/v2/catalogue/show/759/aquarion-logos","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/268_637340495311456850Aquarion_Logos_Small.jpg"
"ARIFURETA From Commonplace to World's Strongest","4","52","84","2019","Action | Adventure | Drama | Fantasy | Isekai","Sent to another world and left behind, Hajime made his rise from the bottom with the help of his beautiful allies. Now after saving his former classmates, he ventures towards Erisen. He’ll fight anyone in order to find a way home—including a god!","https://www.wakanim.tv/sc/v2/catalogue/show/1624/arifureta-from-commonplace-to-worlds-strongest","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/1711_63772762458785796987_636981786574613925Arifureta_Small_hq%20(1).jpg"
"ARTE","2","24","82","2020","Historical | Slice of Life","Florence, Italy. This is the beginning of the 16th century in the birthplace of Renaissance. Painting, sculpture and all kinds of art are thriving.","https://www.wakanim.tv/sc/v2/catalogue/show/859/arte","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637215068254614928Arte_Small.jpg"
"Assassination Classroom","9","95","78","2015","Action | Comedy | Shounen","Forget about homework and pop quizzes. Class 3E has a far more important assignment: kill their teacher before the end of the year!","https://www.wakanim.tv/sc/v2/catalogue/show/876/assassination-classroom","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/23_637187645268856626Assassination-Classroom_Small.jpg"
"Asteroid in Love","2","24","82","2020","Comedy | Slice of Life","Mira is lucky enough to share her name with a star, but her friend’s name “Ao” is starless.","https://www.wakanim.tv/sc/v2/catalogue/show/643/asteroid-in-love","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/62_637166036597275204AiL_Small.jpg"
"Attack on Titan","15","182","92","2018","Action | Adventure | Drama | Fantasy | Thriller","Walls have been separating humanity from the rest of the world for 100 years now. Beyond them lies an uncharted territory. A sea of fire, a land of ice, sandy plains ... A boy’s curiosity is piqued by what he reads in books.","https://www.wakanim.tv/sc/v2/catalogue/show/381/attack-on-titan","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/52_637165062905176336SNK_S1_Small_EN.png"
"Attack on Titan (live-action movie)","4","4","32","2015","Action | Drama | Horror","Monsters known as Titans have pushed humanity to the brink of extinction. The secret to salvation lies with one boy’s dangerous ability.","https://www.wakanim.tv/sc/v2/catalogue/show/911/attack-on-titan-live-action-movie","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/84_637219409495879836AOT-Movie-1-2_Small.jpg"
"Attack on Titan ~Chronicle~","2","2","68","2020","Action | Adventure","Attack on Titan ~Chronicle~ re-edits the epic action of Seasons 1-3 into one movie.","https://www.wakanim.tv/sc/v2/catalogue/show/1181/attack-on-titan-chronicle","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2111_637415720419540909AOT_Movie_Small.jpg"
"Attack on Titan Final Season",0,0,"92","2020","Action | Adventure | Drama | Fantasy | Shounen","Here we are. Epic battles, chaos, revelations... Don't miss the finale of one of the greatest masterpieces of Japanese animation.","https://www.wakanim.tv/sc/v2/catalogue/show/1115/attack-on-titan-final-season","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/312_637425851500871446AOT_Small.jpg"
"BACK ARROW","4","48","76","2021","Action | Fantasy | Mecha","Lingalind is a land enclosed by the Wall. The Wall covers, protects, cultivates, and nurtures the land.","https://www.wakanim.tv/sc/v2/catalogue/show/1211/back-arrow","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/111_637459743347787474BackArrow_Small-2.jpg"
"Banished from the Hero's Party, I Decided to Live a Quiet Life in the Countryside","2","26","80","2021","Music","Born with incredible powers, Red seemed like the perfect candidate to join the top heroes in the fight to save the world.","https://www.wakanim.tv/sc/v2/catalogue/show/1485/banished-from-the-heros-party-i-decided-to-live-a-quiet-life-in-the-countryside","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637687629879938662BHP_Small.jpg"
"Basilisk: The Ouka Ninja Scrolls","4","48","76","2018","Action | Adventure | Drama | Historical | Martial Arts | Seinen","Only ten years have passed since the battle between clans. Poised to fight once more, a new generation now stands at the forefront.","https://www.wakanim.tv/sc/v2/catalogue/show/881/basilisk-the-ouka-ninja-scrolls","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/43_637189139781280426Basilisk_Small.jpg"
"Battle Athletes Victory ReSTART!","1","12","54","2021","Action | Comedy | Sci-Fi | Sport","Aspiring athletes from around the galaxy gather to compete in a tournament where the winner will be crowned the Cosmic Beauty.","https://www.wakanim.tv/sc/v2/catalogue/show/1269/battle-athletes-victory-restart","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529559942963666BAD_Small.jpg"
"BEM","3","25","64","2020","Action | Adventure | Fantasy | Horror","Libra City is a sprawling metropolis whose districts split the rich and the poor. Hiding among the populace are three humanoid monsters—Bem, Bela, and Belo—who protect humanity and hope to one day become humans themselves","https://www.wakanim.tv/sc/v2/catalogue/show/1159/bem","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/1311_637408751399734993BEM_Movie_Small.jpg"
"Black Clover","13","272","86","2017","Action | Adventure | Comedy | Fantasy | Magic | Shounen","In a world where magic is everything, the next Wizard King could be a boy without power.","https://www.wakanim.tv/sc/v2/catalogue/show/882/black-clover","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/43_637189172975151475Black-Clover_Small.jpg"
"Black Clover Season 4",0,0,"86","2021","Action | Comedy | Fantasy | Shounen | Supernatural","The fourth and final season of Black Clover is on! Follow Asta and Yuno as a bunch of Devil-using mages from the Spade Kingdom are about to mount an attack...","https://www.wakanim.tv/sc/v2/catalogue/show/1242/black-clover-season-4","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2612_637446030159815055BC_Small.jpg"
"BlazBlue Alter Memory","2","24","70","2013","Action | Adventure | Drama | Fantasy | Magic | Supernatural","Discover the story behind gaming’s deadliest moves in this series from the animation studio behind the BlazBlue: Chrono Phantasma cutscenes!","https://www.wakanim.tv/sc/v2/catalogue/show/703/blazblue-alter-memory","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/144_637224633803410602Blazblue_Small.jpg"
"Blue Reflection Ray","2","24","54","2021","Action | Drama | Fantasy","Optimistic Hiori can’t turn away anyone in need. Awkward Ruka can’t seem to make friends, even when she tries. But these two do have one thing in common: they’re both magical girls called Reflectors!","https://www.wakanim.tv/sc/v2/catalogue/show/1299/blue-reflection-ray","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/256_637602333812907198BlueRR_Small%20(1).jpg"
"BOFURI: I Don’t Want to Get Hurt, so I’ll Max Out My Defense.","2","24","88","2020","Action | Comedy | Fantasy | Sci-Fi","A new big player has just joined the famous VRMMO game: NewWorld Online!","https://www.wakanim.tv/sc/v2/catalogue/show/635/bofuri-i-dont-want-to-get-hurt-so-ill-max-out-my-defense","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/285_637262743499341150Bofuri_Small.jpg"
"Bottom-tier Character Tomozaki","2","26","80","2021","Drama | Romance","Expert gamer Tomozaki Fumiya doesn’t exactly fit in, but he wishes he did.","https://www.wakanim.tv/sc/v2/catalogue/show/1226/bottom-tier-character-tomozaki","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/31_637452759858027501BTC_Small.jpg"
"Brothers Conflict","2","24","76","2013","Romance | Shoujo","When Ema's father remarries, she moves in with 13 gorgeous new stepbrothers who all have their sights set on her.","https://www.wakanim.tv/sc/v2/catalogue/show/700/brothers-conflict","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/144_637224635402131094Brothers-Conflict_Small.jpg"
"BUILD-DIVIDE -#000000- CODE BLACK","2","24","62","2021","Fantasy","In New Kyoto, a person's worth is determined by his strength in the Build Divide card game. And there is a rumor... If you defeat the King in Build Divide, any wish will be fulfilled. The competition is on!","https://www.wakanim.tv/sc/v2/catalogue/show/1553/build-divide-000000-code-black","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/510_637690231298466496BD_Small.jpg"
"BUILD-DIVIDE -#FFFFFF- CODE WHITE",0,0,"0","2022","Fantasy","The card battles of Shin Kyoto continue in the new part of BUILD-DIVIDE series!","https://www.wakanim.tv/sc/v2/catalogue/show/1740/build-divide-ffffff-code-white","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/293_637841602435804134Build-Divide-000000-Code-White_Small.jpg"
"Bungo and Alchemist -Gears of Judgement-","2","26","76","2020","Action | Adventure | Fantasy | Historical","Join legendary writers to save books soiled with negative emotions in this show directed by Toshinori Watanabe (Tokyo Ghoul:re)!","https://www.wakanim.tv/sc/v2/catalogue/show/935/bungo-and-alchemist-gears-of-judgement","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/284_637236905312054688BA_Small%20(1).jpg"
"By the Grace of the Gods","2","24","86","2020","Adventure | Fantasy | Slice of Life","Ryoma Takebayashidies in his sleep at the age of 39 after leading a life of misfortune. Taking pity on him, three deities offer him the chance to reincarnate in a world of magic where he has only one mission: to be himself and enjoy life.","https://www.wakanim.tv/sc/v2/catalogue/show/1133/by-the-grace-of-the-gods","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637372583725215060BtGoG_small.jpg"
"C - Control","2","22","68","2011","Action | Drama | Isekai | Sci-Fi | Supernatural | Thriller","College student Kimimaro is broke until a stranger invites him to the Financial District, a world where he can earn money—for a price.","https://www.wakanim.tv/sc/v2/catalogue/show/887/c-control","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/173_637200371053405131C-Control_Small.jpg"
"Cardcaptor Sakura: Clear Card","2","22","78","2018","Adventure | Comedy | Romance | Shoujo","The power of Clow is back with a new adventure for Cardcaptor Sakura! Mysterious blank cards and new magic await the guardian—is she ready?","https://www.wakanim.tv/sc/v2/catalogue/show/888/cardcaptor-sakura-clear-card","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/173_637200557368260580Cardcaptor-Sakura_Small.jpg"
"CARDFIGHT!! VANGUARD overDress","4","63","96","2021","Action","After an argument with his sister, Yu-yu runs away from home. That night, his life is turned upside down.","https://www.wakanim.tv/sc/v2/catalogue/show/1308/cardfight-vanguard-overdress","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/24_637529752344942594VO_Small.jpg"
"Casshern Sins","4","48","74","2008","Action | Adventure | Drama | Fantasy | Sci-Fi","Casshern, a cybernetic assassin with no memory, awakens in a wasteland where a plague known as the Ruin reduces everything to rubble.","https://www.wakanim.tv/sc/v2/catalogue/show/698/casshern-sins","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/183_637201444295868435Casshern-Sins_Small.jpg"
"Chio's School Road","1","12","86","2018","Comedy | Ecchi | Seinen | Slice of Life","Think about everything that could possibly go wrong on an awkward girl’s way to school. Now escalate it quickly. That’s Chio’s life.","https://www.wakanim.tv/sc/v2/catalogue/show/902/chios-school-road","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637215034374586642Chios-School-Road_Small.jpg"
"Chronicles of the Going Home Club","1","12","8","2013","Comedy | Slice of Life","It’s the beginning of a new year of high school, and school clubs are diligently recruiting members to take part in their activities.","https://www.wakanim.tv/sc/v2/catalogue/show/1444/chronicles-of-the-going-home-club","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/107_637615301134739769CGHC_Small.jpg"
"Chronos Ruler","1","13","62","2017","Action | Adventure | Shounen | Supernatural","In a world plagued by time-eating demons, it’s up to the Chronos Rulers to use the power of time manipulation to protect humanity.","https://www.wakanim.tv/sc/v2/catalogue/show/903/chronos-ruler","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637215048857647961Chronos-Ruler_Small.jpg"
"Citrus","2","24","76","2018","Drama | Romance | Yuri","Fashionable Yuzu’s life goes from sweet to sour when the beautiful but stern Mei falls into her life.","https://www.wakanim.tv/sc/v2/catalogue/show/905/citrus","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/64_637217607784517801Citrus_Small.jpg"
"Claymore","4","52","74","2007","Action | Drama | Fantasy | Historical | Horror | Magic | Shounen | Supernatural","A deadly breed of monster—the Yoma—has only one foe: Claymore. These warrior women can deliver salvation with a blade—for a fee.","https://www.wakanim.tv/sc/v2/catalogue/show/670/claymore","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147701851089624Claymore_Small.jpg"
"Clockwork Planet","1","12","96","2017","Action | Fantasy | Sci-Fi","A black box crashes through the roof of Naoto Miura, a brilliant amateur tinkerer. Inside the box is a mysterious female automaton.","https://www.wakanim.tv/sc/v2/catalogue/show/904/clockwork-planet","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/34_637215061737762662Clockwork-Planet_Small.jpg"
"Code: Realize","2","26","58","2017","Fantasy | Romance | Shoujo","Because of a curse, Cardia’s body is filled with a poison causing everyone she touches to dissolve. Everybody sees her as a monster, so she shuts herself away and avoids contact with the outside world.","https://www.wakanim.tv/sc/v2/catalogue/show/264/code-realize","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/216_636967465592690401Code%20Realise_Small.png"
"Combatants Will Be Dispatched!","2","24","82","2021","Action | Comedy | Fantasy","To climb the corporate ladder at the evil Kisaragi Corporation, Combatant Agent Six must conquer a magical planet—and a Demon Lord’s army.","https://www.wakanim.tv/sc/v2/catalogue/show/1250/combatants-will-be-dispatched","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/74_637534012976664995CWBD_Small_SC.jpg"
"Conception","1","12","30","2018","Action | Adventure | Ecchi | Fantasy | Magic | Romance","High school student Itsuki and his cousin find themselves whisked away to the world of Granvania where “Impurities” stalk the land.","https://www.wakanim.tv/sc/v2/catalogue/show/906/conception","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/64_637217645489688157Conception_Small.jpg"
"Concrete Revolutio","4","48","70","2015","Action | Drama | Original | Sci-Fi | Supernatural","What if superhumans were real? Even better, what if every fabled superhuman existed at the same time, in the same place?","https://www.wakanim.tv/sc/v2/catalogue/show/766/concrete-revolutio","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206407472817083Concrete-Revolution_Small.jpg"
"Coyote Ragtime Show","2","24","6","2006","Action | Adventure | Mecha | Original | Sci-Fi | Shounen | Thriller","Before Pirate King Bruce died, he hid billions in stolen loot on a doomed planet. Now, the galaxy's most infamous criminal must dodge government goons, a hottie investigator, and deadly android Lolitas to get his hands on the booty!","https://www.wakanim.tv/sc/v2/catalogue/show/685/coyote-ragtime-show","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/145_637566072671613175Coyote-Ragetime-Show_Small.jpg"
"D.Gray-man Hallow","2","26","70","2016","Action | Adventure | Alternate history | Drama | Shounen | Supernatural","With an eye cursed to see evil and blessed with an arm to slay demons, Exorcist Allen Walker is humanity’s greatest hope against Akuma.","https://www.wakanim.tv/sc/v2/catalogue/show/792/dgray-man-hallow","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206470521991986D-Gray-Man-Hallow_Small.jpg"
"D4DJ First Mix","1","13","86","2020","Music","D4DJ First Mix","https://www.wakanim.tv/sc/v2/catalogue/show/1138/d4dj-first-mix","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/2010_637388011464449955DJ_Small.jpg"
"Daimidaler: Prince vs. Penguin Empire","2","24","28","2014","Action | Adventure | Comedy | Ecchi | Mecha | Sci-Fi | Seinen","An easily excited teenage boy with a mysterious power fueled by oversized boobs is Earth's last hope.","https://www.wakanim.tv/sc/v2/catalogue/show/710/daimidaler-prince-vs-penguin-empire","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/144_637224634678368601Daimidaler_Small.jpg"
"Dance with Devils","2","24","70","2015","Action | Drama | Fantasy | Music | Romance | Shoujo | Supernatural | Vampire","Ritsuka Tachibana has the perfect school-to-life balance—until she discovers her handsome male classmates are demons in disguise.","https://www.wakanim.tv/sc/v2/catalogue/show/765/dance-with-devils","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206592591880795Dance-Devils_Small.jpg"
"Dances with the Dragons","1","12","0","2018","Action | Drama | Fantasy | Sci-Fi","Combining chemistry with weapons to create a powerful spell-like magic, bounty hunters Gaius and Gigina have their work cut out for them.","https://www.wakanim.tv/sc/v2/catalogue/show/907/dances-with-the-dragons","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/74_637218427497931981Dances-Dragons_Small.jpg"
"Danganronpa 3: The End of Hope's Peak High School: Despair Arc",0,0,"84","2016","Action | Drama | Horror | Police | Thriller","Taking place before season one of the Danganronpa anime and after the hit game, Danganronpa 2: Goodbye Despair, comes two new arcs!","https://www.wakanim.tv/sc/v2/catalogue/show/678/danganronpa-3-the-end-of-hopes-peak-high-school-despair-arc","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/201_637151071763001416Danganronpa3_Small.jpg"
"Danganronpa 3: The End of Hope's Peak High School: Future Arc",0,0,"84","2016","Action | Drama | Horror | Police | Thriller","Taking place before season one of the Danganronpa anime and after the hit game, Danganronpa 2: Goodbye Despair, comes two new arcs!","https://www.wakanim.tv/sc/v2/catalogue/show/679/danganronpa-3-the-end-of-hopes-peak-high-school-future-arc","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/201_637151129562416439Danganronpa3_Small.jpg"
"Danganronpa The Animation","6","74","84","2013","Action | Drama | Horror | Police | Thriller","Hope’s Peak Academy is an elite private school, but the only way to pass the class is by sending a fellow student home in a body bag.","https://www.wakanim.tv/sc/v2/catalogue/show/677/danganronpa-the-animation","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/171_637148783965584435Danganronpa1_Small.jpg"
"DARLING in the FRANXX","2","24","92","2018","Action | Drama | Ecchi | Mecha | Original | Romance | Sci-Fi","When fallen FranXX prodigy Hiro meets Zero Two, the girl with the horns, everything changes.","https://www.wakanim.tv/sc/v2/catalogue/show/908/darling-in-the-franxx","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/74_637218453803787619Darling-Fran_Small.jpg"
