"title","seasons","episodes","rating","year","genres","description","link","image"
"Prince of Stride: Alternative","2","24","70","2016","Comedy | Drama | Sport","Nana and Takeru are desperate to resurrect the Stride Club—but will they be able to persuade Riku, who insists he hates Stride, to sign up?","https://www.wakanim.tv/sc/v2/catalogue/show/770/prince-of-stride-alternative","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/243_637206396097267306Stride-Alternative_Small.jpg"
"Princess Jellyfish","2","22","98","2010","Comedy | Romance | Slice of Life","Tsukimi and her friends are nerds who rarely leave their all-girl apartment, that is, until they meet a ""Stylish Girl"" with a big secret.","https://www.wakanim.tv/sc/v2/catalogue/show/1038/princess-jellyfish","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/306_637291294183700739Princess-Jellyfish_Small.jpg"
"Prison School","2","24","84","2015","Comedy | Ecchi","The school is ruled by a secret council of sadistic female students. The boys are in for a world of hurt.","https://www.wakanim.tv/sc/v2/catalogue/show/666/prison-school","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/161_637147629860902119Prison-School_Small.jpg"
"PUCHIM@S 2","6","74","0","2014","Comedy | Slice of Life","Fans of the iDOLM@STER franchise won’t want to miss this super cute spinoff! Hyperactive hijinks are sure to follow when the idol girls of 765 Productions discover the mysterious Puchidols—chibis with adorable abilities—have invaded their office!","https://www.wakanim.tv/sc/v2/catalogue/show/712/puchims-2","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/275_637577013803024481Puchimasu-S2_Small.jpg"
"PuraOre! ~Pride of Orange~","1","12","74","2021","Sport","Enjoy the first ever female ice hockey anime and follow a group of girls aiming for the top of the world through ice hockey!","https://www.wakanim.tv/sc/v2/catalogue/show/1503/puraore-pride-of-orange","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/110_637687006000435221PO_Small.jpg"
"Puzzle & Dragons X","6","76","100","2016","Adventure | Comedy","Winners reap rewards in the puzzle wars. But what if you lose? Only the brave can take on these monstrous challenges!","https://www.wakanim.tv/sc/v2/catalogue/show/801/puzzle-dragons-x","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/115_637247806695174487Puzzle-Dragons_Small.jpg"
"RADIANT","2","21","84","2018","Action | Adventure | Fantasy | Magic","Seth is more determined than ever before to find Radiant! And he’ll encounter new enemies and allies during his legendary quest.","https://www.wakanim.tv/sc/v2/catalogue/show/1043/radiant","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/297_637316150051799775Radiant_Small.jpg"
"Rampo Kitan: Game of Laplace","2","22","40","2015","Drama | Horror | Thriller","When a murder at a middle school attracts the attention of genius detective Akechi, a student volunteers to help with his investigation.","https://www.wakanim.tv/sc/v2/catalogue/show/934/rampo-kitan-game-of-laplace","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/154_637225621187959686Rampo-Kitan_Small.jpg"
"Ranking of Kings","4","46","88","2021","Adventure | Fantasy","How prosperous your nation is, how many powerful warriors it boasts, and how heroic and strong its king is. These are the criteria that factor into the system known as the Ranking of Kings.","https://www.wakanim.tv/sc/v2/catalogue/show/1492/ranking-of-kings","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/210_637687631119793475RK_Small.jpg"
"Record of Lodoss War","2","26","54","1990","Action | Adventure | Drama | Fantasy | Magic | Romance | Shounen | Supernatural","In a land torn by war, young Parn and a ragtag team of adventurers set out to restore peace to the island of Lodoss.","https://www.wakanim.tv/sc/v2/catalogue/show/736/record-of-lodoss-war","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/74_637218692875302426imgpsh_fullsize_anim.jpg"
"Record of Lodoss War: Chronicles of the Heroic Knight","4","54","66","1998","Action | Adventure | Drama | Fantasy | Magic | Romance","In a land torn by war, young Parn and a ragtag team of adventurers set out to restore peace to the island of Lodoss.","https://www.wakanim.tv/sc/v2/catalogue/show/735/record-of-lodoss-war-chronicles-of-the-heroic-knight","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/313_637212378718947971Lodoss-War_Small.jpg"
"Regalia: The Three Sacred Stars","2","26","72","2016","Action | Mecha | Sci-Fi","When a large mecha attacks the Enastria Empire, sisters Yui and Rena are pulled from their peaceful life and into a vortex of destiny!","https://www.wakanim.tv/sc/v2/catalogue/show/780/regalia-the-three-sacred-stars","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/313_637212380204902395Regalia_Small.jpg"
"RE-MAIN","2","24","72","2021","Sport","The first water polo anime, adapted from the manga by Masafumi Nishida (Tiger & Bunny) by the excellent studio MAPPA (Attack of the Titans S4, Jujutsu Kaisen).","https://www.wakanim.tv/sc/v2/catalogue/show/1393/re-main","https://d2y6mqrpjbqoe6.cloudfront.net/image/upload/f_auto,q_auto/cdn1/library/17_637607338888311430Re-Main_Small.jpg"
